公司,资产标签,型号,品牌,类别：,生产厂家,位置,状态
腾讯,TKMB171206HK,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1706026H,"OPPO R9M",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB201002PG,PDEM10,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180600EW,VIE-AL10,HUAWEI,Android,HUAWEI,A1-线下箱子5,"待上线 (deployable)"
腾讯,TKMB191002G5,LG-SP200,LGE,Android,LGE,,"新增 (deployable)"
腾讯,TKMB2004053W,LYA-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB161004KA,VIE-AL10,HUAWEI,Android,HUAWEI,A1-线下箱子5,"待上线 (deployable)"
腾讯,TKMB200500XX,"MI 4",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB19090323,MHA-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB18030383,BND-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200405M1,A37F,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB20050311,"OPPO A79T",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1801046K,"OPPO R11S PLUS",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1611094F,"MI NOTE 2",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB191203AG,"MI MAX 3",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB201001NY,SM-G928F,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB201202Y1,CLT-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191000PR,SM-G920L,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190801AL,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200501Y5,"REDMI K30 5G",REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB201000T0,ASUS_I001DA,ASUS,Android,asus,,"新增 (deployable)"
腾讯,TKMB200500XG,PIC-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190701FP,"HUAWEI MLA-AL10",HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1706021E,BLN-AL40,HONOR,Android,HUAWEI,B2-G02-0514,"上线 (deployable)"
