id,serial,imei,assetid,model,brand,manu,product,pc,state,inetip,updatetime,remarks,lastEditor
130,1a3dfc1f,861247036596802,TKMB1905092F,"VIVO X6S A",VIVO,vivo,PD1415BA,WETEST-POC-001,,116.233.16.212,"2021-03-05 16:43:33",,NULL
144,6b3336e,866920037254614,TKMB1806000E,"OPPO A57",OPPO,OPPO,A57,WETEST-A1-DEVICE-SERVER002,,116.231.36.30,"2021-03-01 15:44:17",,NULL
145,7CSNW18124003582,865831037033810,TKMB18090030,FIG-AL00,HUAWEI,HUAWEI,FIG-AL00,WETEST-A1-DEVICE-SERVER002,,116.231.36.30,"2021-03-01 04:19:38",,NULL
146,b97c4905,863389031503132,TKMB1711018K,"VIVO X7",VIVO,vivo,PD1602,WETEST-A1-DEVICE-SERVER002,,116.233.16.212,"2020-12-26 17:46:15",,NULL
151,d9eac651,864243032818677,TKMB17020173,"OPPO R9SK",OPPO,OPPO,R9sk,WETEST-POC-001,,116.231.32.235,"2021-03-08 07:30:20",,NULL
154,96dccab9,869498039887274,TKMB180501Y1,"VIVO X21A",VIVO,vivo,PD1728,WETEST-A1-DEVICE-SERVER002,,116.233.16.212,"2021-03-01 17:10:52",,NULL
239,4100685ff2b881b3,355694060090595,TKMB1609008S,SM-N910U,SAMSUNG,samsung,trhpltexx,WETEST-POWER-SERVER001,,116.231.34.28,"2020-05-01 12:09:56",,NULL
326,PJQDU16308021030,860077038228372,TKMB1603A4F8,"HUAWEI RIO-AL00",HUAWEI,HUAWEI,RIO-AL00,WETEST-POWER-SERVER001,,116.233.19.120,"2020-05-07 12:55:30",,NULL
441,7HWWYHONMJJJA6TG,869805020796845,TKMB1603A530,"OPPO R7S",OPPO,OPPO,R7s,WETEST-POWER-SERVER001,,116.232.107.52,"2020-05-07 22:14:24",,NULL
469,8a3cc64b,860798034307254,TKMB1603A51E,"VIVO X6A",VIVO,vivo,PD1415A,WETEST-POWER-SERVER001,,180.153.219.126,"2020-10-23 23:14:56",,NULL
1827,9YJ7N18308000102,868496039484309,TKMB180304S4,TRT-AL00A,HUAWEI,HUAWEI,TRT-AL00A,WETEST-KX-DEVICE-SERVER031,,121.35.100.105,"2020-09-07 10:16:37",,NULL
1831,35dce01c,864534035232241,TKMB17040280,"VIVO X9I",VIVO,vivo,PD1624,WETEST-KX-DEVICE-SERVER034,,121.35.101.149,"2021-03-16 12:35:41",,NULL
1832,7172c2d0,862545030501481,TKMB170200SK,"VIVO V3MAX A",VIVO,vivo,PD1523,WETEST-SA-DEVICE-006,,180.153.219.15,"2020-05-02 17:32:07",,NULL
1834,JFJFYST499999999,866848039214411,TKMB18030665,"VIVO Y67L",VIVO,vivo,PD1612,WETEST-KX-DEVICE-SERVER040,,121.35.100.180,"2021-03-16 01:04:28",,NULL
1838,DEA6US9L99999999,866489031125030,TKMB1806024L,"OPPO A59S",OPPO,OPPO,A59,WETEST-SA-DEVICE-006,,180.153.219.15,"2020-05-02 17:36:19",,NULL
1840,DLLKR17531005824,A00000771854D3,TKMB180307KH,NCE-AL10,HUAWEI,HUAWEI,NCE-AL10,WETEST-KX-DEVICE-SERVER027,,183.14.135.245,"2021-03-16 06:31:01",,NULL
1841,cb9d6e52,356156075720623,TKMB1603AE37,SM-G9350,SAMSUNG,samsung,hero2qltezh,WETEST-KX-DEVICE-SERVER028,,183.14.31.57,"2020-11-14 07:49:05",,NULL
1842,dfd1d4f6,868363031133674,TKMB1809013J,"VIVO Y66I A",VIVO,vivo,PD1621B,WETEST-KX-DEVICE-SERVER031,,183.14.132.152,"2021-03-16 17:53:46",,NULL
1843,4YY4C17928000634,864640030019937,TKMB171103K7,WAS-AL00,HUAWEI,HUAWEI,WAS-AL00,WETEST-KX-DEVICE-SERVER039,,183.14.31.182,"2021-03-16 01:18:41",,NULL
