assetid,assetname,location,cloud,dt,batch,epo,remarks
TKMB16061H82,"手机 华为 P9 Plus（全网通移动联通电信4G/RAM 4GB/ROM 128G/高配版/琥珀灰) Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB160903S5,"手机 华为 P9 Plus（全网通移动联通电信4G/RAM 4GB/ROM 64G/标配版/颜色随机） Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB1610032A,"手机 华为 P9（全网通移动联通电信4G/RAM 3GB/ROM 32G/颜色随机） Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB161004KA,"手机 华为 P9 Plus（全网通移动联通电信4G/RAM 4GB/ROM 64G/标配版/颜色随机） Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB161107K0,"手机 华为 P9 Plus（全网通移动联通电信4G/RAM 4GB/ROM 64G/标配版/颜色随机） Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB16120867,"手机 华为 Mate 9（全网通4G/双卡双待/4GB+64GB版/颜色随机） Pcs",a1,b2_ot_public_cloud,"2020-09-28 00:00:00",46,,"no wetestservice"
TKMB1702006E,"手机 华为 Mate 9（MHA-AL00)(TD-LTE/FDD-LTE/32GB/颜色随机) Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB1702007K,"手机 华为 荣耀Magic（移动联通电信4G/双卡双待双通/4GB+64GB/颜色随机） Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB1703010S,"手机 华为 Mate 9 pro(TD-LTE/FDD-LTE/64GB/颜色随机) Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB17040130,"手机 华为 荣耀8（移动联通电信4G/RAM 4GB/ROM 64G/颜色随机） Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB170501SS,"手机 华为 P10 plus( 移动联通电信4G/双卡双待/ 6GB+128GB/颜色随机) Pcs",NULL,NULL,NULL,NULL,NULL,NULL
TKMB17050286,"手机 华为 Mate 9（MHA-AL00)(TD-LTE/FDD-LTE/32GB/颜色随机) Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB17070296,"手机 华为 荣耀畅玩6A(全网通4G/RAM 2GB/ROM 16GB/颜色随机） Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB17080231,"手机 华为 nova 2 Plus（移动联通电信4G/4GB+128GB/颜色随机） Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB170802S7,"手机 华为 P10 plus( 移动联通电信4G/双卡双待/ 6GB+128GB/曜石黑) Pcs",a1,NULL,NULL,290,NULL,NULL
TKMB170901AS,"手机 魅族 PRO 7 Plus（移动联通电信4G/6GB+64GB/颜色随机） Pcs",NULL,NULL,NULL,NULL,NULL,NULL
