assetid,assetname
TKMB21015P89,iPhone X (二手机/全网通4G/3GB+64GB/iOS 11.0.1/颜色随机)
TKMB2008009T,iPhone XS MAX  (二手机/全网通4G/4GB+64GB/ISO 12.4.1/颜色随机)
TKMB20050209,畅享8 Plus(二手机/全网通4G/6GB+128GB/颜色随机)
TKMB200500XE,R7 Plus m(二手机/全网通4G手机/4GB+64GB/颜色随机)
TKMB200601MY,X30 5G 秘银 8GB+128GB 6400万拍照手机 50mm专业人像镜头 智慧旗舰新品手机 全网通5G手机(100005755993)
TKMB200503LX,Note 3(二手机/双4G/3GB+32GB标准版/颜色随机)
TKMB201203EL,A3 (二手机/移动全网通/4GB+64GB/颜色随机)(PADT00)
TKMB2005032E,游戏手机2 Pro(全网通4G/12GB+128GB/颜色随机)
TKMB200503LN,A5(二手机/中国移动4G+/4GB+64GB/颜色随机)
TKMB2005032T,麦芒6(二手机/全网通4G/4GB+64GB/颜色随机)
TKMB2005032G,R7 Plus m(二手机/全网通4G手机/4GB+64GB/颜色随机)
TKMB2005024M,荣耀10青春版（二手机/全网通4G/6GB+128GB/颜色随机）
TKMB200503L3,荣耀畅玩7A(二手机/全网通4G/3GB+32GB/颜色随机)
TKMB200500XX,4 (二手机/移动4G版/3GB+16GB/颜色随机)
TKMB2012059G,A79k(二手机/全网通4G/4GB+64GB/颜色随机)
TKMB200501YP,X30 Pro 5G 秘银 8GB+128GB 60倍超级变焦 6400万四摄拍照手机 智慧旗舰新品手机 全网通5G手机 X30 Pro(100010313940)
TKMB2005032P,nova2(二手机/全网通4G手机/4GB+64GB/颜色不限)
TKMB200503LW,A5(二手机/移动全网通版/3GB+32GB/颜色随机) PBBT30
TKMB2005032W,红米 note4(二手机/全网通4G/3GB+32GB/颜色不限)
TKMB20090185,reno(二手机/移动定制版/6GB+128GB/颜色随机)
TKMB200901E2,R9tm(二手机/移动全网通/4GB+64GB/颜色随机)
TKMB20100520,X23(二手机/移动全网通4G版/V1809T/8GB+128GB/颜色随机)
TKMB2005032R,魅蓝Note 6(二手机/全网通4G/4GB+64GB/颜色随机）
TKMB20080208,畅享 10S (全网通4G/6GB+64GB/颜色随机)
TKMB200500XG,nova2(二手机/全网通4G手机/4GB+64GB/颜色不限)
TKMB200500XF,红米 note4(二手机/全网通4G/3GB+32GB/颜色不限)
TKMB200602EX,A9(二手机/移动版4G+/4GB+64GB/PCAT10/颜色随机)
TKMB20050414,畅享8e青春版(2GB+32GB)
TKMB2005028X,畅享平板(二手机/10.1寸/WiFi 版/3G+32G/香槟金)
TKMB200602EP,R17(二手机/移动全网通版/8GB+128GB/颜色随机)
TKMB2005027A,X9s Plus(4GB+64GB/全网通4G/颜色随机)
TKMB2008020E,畅享8 plus(全网通4G手机/FLA-AL10/4G+64G/颜色随机)
TKMB2005028J,华为平板 M6 10.8英寸麒麟980影音娱乐平板电脑4GB+64GB WiFi（颜色随机）
TKMB200501YX,Y55（二手机/全网通4G/2GB+16GB/双卡双待/颜色随机）
TKMB20040075,华为 HUAWEI nova 4e 3200万立体美颜AI超广角三摄珍珠屏4GB+128GB幻夜黑全网通版双4G手机(100002535419)
TKMB200500YF,麦芒6(二手机/全网通4G/4GB+64GB/颜色随机)
TKMB20060331,10 Pro（全网通5G/12GB+512GB/颜色随机）
TKMB201205EJ,Y81S(二手机/V1732T/移动全网通4G手机/4G+64G/颜色随机)
TKMB21015PGT,redmi 10X 4G版(全网通4G/4GB+128GB/M2003J15SC/颜色随机)
TKMB21015P1A,小米10 至尊纪念版(全网通双模5G/8GB+128GB/M2007J1SC/颜色随机)
TKMB210102G0,Redmi K30 至尊纪念版(全网通双模5G/8GB+128GB/M2006J10C/颜色随机)
TKMB2101024J,荣耀30青春版(5G双模/6GB+64GB/MXW-AN00/颜色随机)
TKMB2101021J,X50(双模全网通5G/8+128GB/V2001A/颜色随机)
TKMB210102A0,黑鲨游戏手机3(全网通双模5G/8GB+128GB/SHARK KLE-A0/颜色随机)
TKMB21010250,Y81S(二手机/V1732T/移动全网通4G手机/4G+64G/颜色随机)
TKMB21010259,nova 7 SE(全网通5G/8GB+256GB/CDY-AN20/颜色随机）
TKMB21010253,华为 HUAWEI 畅享20 Pro(全网通双模5G/6GB+128GB/DVC-AN20/颜色随机)
TKMB210102A2,畅享8(二手机/全网通4G手机/3G+32G/LDN-AL00/颜色随机)
TKMB210102P1,R15梦境版(二手机/移动全网通4G/6GB+128GB/PAAT00/颜色随机)
TKMB2101024Y,R15x(二手机/移动4G/6GB+128GB/PBCT10/颜色随机)
TKMB2101029J,nova 5(二手机/全网通双4G/8GB+128GB/SEA-AL00/颜色随机)
TKMB2101029M,Y79(二手机/全网通4G/4GB+64GB/VIVO Y79A/颜色随机)
TKMB2101024M,荣耀play4T(全网通4G/6GB+128GB/AKA AL10/颜色随机)
TKMB21010255,iQOO 3(5G全网通/6GB+128GB/V1955A/颜色随机)
TKMB2101029A,畅享 9e(二手机/全网通4G/高配版/3GB+64GB/MRD-AL00/颜色随机)
TKMB210102A6,Redmi8A(全网通4G手机/4G+64G/REDMI 8A/颜色随机)
TKMB21010256,vivo X23 幻彩版（二手机/移动全网通4G/6GB+128GB/V1816T/颜色随机）
TKMB210102ET,Z6(二手机/全网通5G/6GB+128GB/V1963A/颜色随机)
TKMB2101025E,iQOO Z1x (全网通5G/6GB+128GB/V2012A/颜色不限)
TKMB2101025R,Redmi 10X 5G(全网通双5G/6GB+128GB/M2004J7AC/颜色随机)
TKMB21010224,S7(全网通双模5G/8GB+128GB/V2020A/颜色随机)
TKMB2101021X,Reno4 Pro (全网通5G/8+128GB/PDNM00/颜色随机 )
TKMB21010298,荣耀30 Pro (全网通5G/8GB+128GB/EBG-AN00/颜色随机)
TKMB2101024L,Y66（二手机/全网通/3GB+32GB/VIVO Y66/颜色随机）
TKMB2101029G,Reno 3(二手机/全网通5G/8GB+128GB/PCLM50/元气版/颜色随机)
TKMB21010225,Reno4(全网通双模5G/8GB+128GB/PDPM00/颜色随机 )
TKMB2101024N,X23(二手机/移动全网通4G版/V1809T/8GB+128GB/颜色随机)
TKMB21010297,vivo Y70s (全网通5G/8GB+128GB/V2002A/颜色不限)
TKMB21010228,iQOO Z1 (全网通5G/8GB+128GB/V1986A/颜色随机)
TKMB21010257,X30 Pro(二手机/全网通5G/8GB+128GB/V1938T/颜色随机)
TKMB21010258,一加6（二手机/全网通4G/6GB+64GB/ONEPLUS A6000/颜色随机）
TKMB21010251,A92s(全网通双模5G/6GB+128GB/PDKM00/颜色随机)
TKMB2101025P,Y50( 全网通4G/ 8GB+128GB/V1965A/颜色随机)
TKMB2101025A,Redmi K30i(二手机/全网通双模5G/6GB+128GB/颜色随机)
TKMB21010254,小米10青春版(二手机/全网通5G/6GB+64GB/M2002J9E/颜色不限)
TKMB21015PT8,nova 7 (全网通5G/8GB+128GB/JEF-AN20/颜色随机)
TKMB201203X2,红米6A(二手机/全网通4G/2GB+16GB/REDMI 6A/颜色随机)
TKMB201204PN,nova 6(二手机/全网通4G/8GB+128GB/WLZ-AL10/颜色随机)
TKMB2012030X,10 Pro(全网通5G/8GB+256GB/MI 10 PRO/颜色随机)
TKMB201203E0,荣耀10 (二手机/全网通4G/6G+64GB/COL-AL10/颜色随机）
TKMB201203XN,荣耀 play（二手机/全网通4G/6G+64G/COR-AL10/颜色随机）
TKMB201203XW,红米6（二手机/全网通4G手机/4GB+64GB/REDMI 6/颜色随机）
TKMB2012030T,荣耀30 (5G全网通/8GB+128GB/BMH-AN10/颜色随机)
TKMB2012030E,小米 MIX2S（二手机/移动联通电信4G/6GB+64GB/颜色随机）
TKMB20120483,A52(二手机/全网通4G/8GB+128GB/PDAM10/颜色随机)
TKMB2012031P,荣耀30S(全网通双模5G/8GB+128GB/CDY-AN90/颜色随机)
TKMB201203RR,A7X(二手机/移动全网通4G/4GB+128GB/PBBT00/颜色随机)
TKMB201203X5,nova 4e(二手机/全网通双4G/4GB+128GB/MAR-AL00/颜色随机)
TKMB201202AF,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB191202YY,X9L(二手机/移动定制版/4GB+64GB/颜色随机)
TKMB21015PW7,iQOO Neo3(全网通5G/8GB+128GB/V1981A/颜色不限)
TKMB20060370,HUAWEI nova 5i Pro（全网通／6GB+128GB／双卡双待／颜色随机)
TKMB201203PF,Z3i(二手机/移动全网通版Z3i标准版4G/6GB+128GB/V1813T/颜色随机)
TKMB201203W0,S1 (二手机/全网通4G/6GB+128GB/V1831A/颜色随机)
TKMB201203XM,Z1i(二手机/全网通4G/4GB+128GB/颜色随机)
TKMB201203X3,X6D(二手机/移动联通双4G手机/4G+32G/颜色随机)
TKMB201203XX,A91(二手机/全网通4G/8GB+128GB/PCPM00/颜色随机)
TKMB201203X4,nova 3i（二手机/全网通4G手机/4GB+128GB/INE-AL00/颜色随机）
TKMB201203R4,VIVO Y83(二手机/移动全网通4G/4GB+64GB/VIVO Y83/颜色随机)
TKMB201203RM,nova 3(二手机/全网通4G/6GB+128GB/PAR-AL00/颜色随机)
TKMB201203XG,Y3标准版（全网通4G/3GB+64GB/V1930A/颜色随机）
TKMB2012030G,7 pro(全网通4G/6GB+128GB/gm1910/颜色随机)
TKMB201203ER,华为 畅享9(二手机/全网通4G/3GB+32GB/DUB-AL00a/颜色随机)
TKMB2012034E,Mate 30 Pro(全网通4G/8GB+128GB/LIO-AL00/颜色随机)
TKMB201204FL,畅享 10S(二手机/全网通4G/6GB+64GB/AQM-AL00/颜色随机)
TKMB20120376,Y67（二手机/全网通4G/4GB+32GB/颜色随机)
TKMB2012030F,S6(全网通双模5G/8GB+128GB/V1962A/颜色随机)
TKMB201203XA,IQOO Pro(二手机/全网通5G/8GB+128GB/v1916a/双卡双待/颜色随机)
TKMB20120375,P20(二手机/全网通4G/6GB+128GB/EML-AL00/颜色随机))
TKMB201203RY,A9(二手机/移动4G+/6GB+128GB/PCAT10/颜色随机)
TKMB20120310,X21屏幕指纹版(二手机/全网通4G/6GB+128GB/VIVO X21UD A/颜色随机)
TKMB201203XP,Z3(二手机/全网通4G/6GB+64GB/V1813BT/颜色随机)
TKMB201204G3,畅享10E(二手机/全网通4G/4G+64G/MED-AL00/珍珠白)
TKMB201203R3,nova 7 Pro (二手机/全网通5G/8GB+128GB/JER-AN10/颜色随机)
TKMB201203P6,畅享9 plus(二手机/全网通4G/6GB+128GB/JKM-AL00/颜色随机)
TKMB2012030N,Reno3 Pro（全网通5G/8GB+128GB/pcrm00/颜色随机）
TKMB201202AW,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB201202AE,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB201202AR,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB201202AP,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB201205EA,X20 plus(二手机/全网通4G/4GB+64GB/VIVO X20PLUS A/颜色随机)
TKMB201204RJ,nova 7 SE （全网通5G/8GB+256GB/颜色随机）
TKMB201205E6,iQOO Z1x (全网通5G/6GB+128GB/V2012A/颜色不限)
TKMB201205E9,畅享9(二手机/全网通4G/4GB+128GB/DUB-AL00/颜色随机)
TKMB201204GR,Y3标准版（全网通4G/3GB+64GB/V1930A/颜色随机）
TKMB201205EG,Z5(二手机/全网通4G/6GB+64GB/V1921A/颜色随机)
TKMB201205EF,A59 （二手机/全网通4G/3GB+32GB/OPPO A59M/颜色随机）
TKMB201205WJ,黑鲨游戏手机(二手机/全网通4G/8GB+128GB/SKR-A0/颜色随机)
TKMB201204TL,Z3(二手机/全网通4G/6GB+64GB/V1813BT/颜色随机)
TKMB201205EL,畅享9(二手机/全网通4G/4GB+64GB/DUB-AL20/颜色随机)
TKMB2012040Y,NEX(二手机/全网通4G/8GB+128GB/VIVO NEX A/颜色随机)
TKMB201204PA,A3(二手机/全网通4G/4GB+128GB/PADM00/颜色随机)
TKMB201203F4,mate20 X（二手机/全网通4G/6GB+128GB/EVR-AL00/颜色随机）
TKMB2012048P,荣耀play4T pro(二手机/全网通4G/6GB+128GB/AQM-AL10/颜色随机)
TKMB201205N8,Redmi K30i(二手机/全网通双模5G/8GB+128GB/颜色随机)
TKMB201204F0,荣耀10青春版(二手机/全网通4G/6GB+64GB/HRY-AL00A/颜色随机)
